'Elapsed time','ECG'
'0:00.944',-0.340
'0:00.948',-0.365
'0:00.952',-0.350
'0:00.956',-0.383
'0:00.960',-0.350
'0:00.964',-0.350
'0:00.968',-0.338
'0:00.972',-0.362
'0:00.976',-0.372
'0:00.980',-0.352
'0:00.984',-0.395
'0:00.988',-0.383
'0:00.992',-0.360
'0:00.996',-0.378
'0:01.000',-0.372
'0:01.004',-0.352
'0:01.008',-0.365
'0:01.012',-0.383
'0:01.016',-0.352
'0:01.020',-0.347
'0:01.024',-0.383
'0:01.028',-0.378
'0:01.032',-0.378
'0:01.036',-0.345
'0:01.040',-0.352
'0:01.044',-0.362
'0:01.048',-0.412
'0:01.052',-0.390
'0:01.056',-0.362
'0:01.060',-0.372
'0:01.064',-0.357
'0:01.068',-0.350
'0:01.072',-0.338
'0:01.076',-0.365
'0:01.080',-0.328
'0:01.084',-0.395
'0:01.088',-0.390
'0:01.092',-0.362
'0:01.096',-0.372
'0:01.100',-0.357
'0:01.104',-0.345
'0:01.108',-0.362
'0:01.112',-0.388
'0:01.116',-0.383
'0:01.120',-0.378
'0:01.124',-0.378
'0:01.128',-0.345
'0:01.132',-0.350
'0:01.136',-0.297
'0:01.140',-0.312
'0:01.144',-0.360
'0:01.148',-0.360
'0:01.152',-0.362
'0:01.156',-0.352
'0:01.160',-0.335
'0:01.164',-0.300
'0:01.168',-0.263
'0:01.172',-0.258
'0:01.176',-0.250
'0:01.180',-0.287
'0:01.184',-0.270
'0:01.188',-0.265
'0:01.192',-0.285
'0:01.196',-0.278
'0:01.200',-0.265
'0:01.204',-0.223
'0:01.208',-0.247
'0:01.212',-0.273
'0:01.216',-0.253
'0:01.220',-0.287
'0:01.224',-0.295
'0:01.228',-0.287
'0:01.232',-0.297
'0:01.236',-0.312
'0:01.240',-0.290
'0:01.244',-0.325
'0:01.248',-0.312
'0:01.252',-0.320
'0:01.256',-0.340
'0:01.260',-0.345
'0:01.264',-0.312
'0:01.268',-0.265
'0:01.272',-0.250
'0:01.276',-0.263
'0:01.280',-0.265
'0:01.284',-0.263
'0:01.288',-0.285
'0:01.292',-0.235
'0:01.296',-0.223
'0:01.300',-0.175
'0:01.304',-0.120
'0:01.308',0.075
'0:01.312',0.302
'0:01.316',0.657
'0:01.320',1.075
'0:01.324',1.545
'0:01.328',1.875
'0:01.332',2.013
'0:01.336',1.772
'0:01.340',1.315
'0:01.344',0.745
'0:01.348',0.203
'0:01.352',-0.190
'0:01.356',-0.347
'0:01.360',-0.445
'0:01.364',-0.432
'0:01.368',-0.350
'0:01.372',-0.340
'0:01.376',-0.362
'0:01.380',-0.365
'0:01.384',-0.398
'0:01.388',-0.427
'0:01.392',-0.438
'0:01.396',-0.432
'0:01.400',-0.497
'0:01.404',-0.427
'0:01.408',-0.450
'0:01.412',-0.510
'0:01.416',-0.507
'0:01.420',-0.487
'0:01.424',-0.507
'0:01.428',-0.522
'0:01.432',-0.502
'0:01.436',-0.522
'0:01.440',-0.475
'0:01.444',-0.525
'0:01.448',-0.532
'0:01.452',-0.583
'0:01.456',-0.552
'0:01.460',-0.550
'0:01.464',-0.545
'0:01.468',-0.550
'0:01.472',-0.562
'0:01.476',-0.552
'0:01.480',-0.588
'0:01.484',-0.583
'0:01.488',-0.578
'0:01.492',-0.562
'0:01.496',-0.532
'0:01.500',-0.565
'0:01.504',-0.535
'0:01.508',-0.550
'0:01.512',-0.575
'0:01.516',-0.590
'0:01.520',-0.573
'0:01.524',-0.585
'0:01.528',-0.573
'0:01.532',-0.578
'0:01.536',-0.557
'0:01.540',-0.560
'0:01.544',-0.595
'0:01.548',-0.578
'0:01.552',-0.583
'0:01.556',-0.600
'0:01.560',-0.600
'0:01.564',-0.608
'0:01.568',-0.583
'0:01.572',-0.608
'0:01.576',-0.640
'0:01.580',-0.660
'0:01.584',-0.647
'0:01.588',-0.690
'0:01.592',-0.665
'0:01.596',-0.665
'0:01.600',-0.627
'0:01.604',-0.627
'0:01.608',-0.632
'0:01.612',-0.637
'0:01.616',-0.657
'0:01.620',-0.672
'0:01.624',-0.677
'0:01.628',-0.647
'0:01.632',-0.645
'0:01.636',-0.635
'0:01.640',-0.608
'0:01.644',-0.652
'0:01.648',-0.650
'0:01.652',-0.670
'0:01.656',-0.625
'0:01.660',-0.623
'0:01.664',-0.625
'0:01.668',-0.557
'0:01.672',-0.545
'0:01.676',-0.532
'0:01.680',-0.490
'0:01.684',-0.500
'0:01.688',-0.512
'0:01.692',-0.470
'0:01.696',-0.445
'0:01.700',-0.412
'0:01.704',-0.412
'0:01.708',-0.407
'0:01.712',-0.427
'0:01.716',-0.448
'0:01.720',-0.472
'0:01.724',-0.453
'0:01.728',-0.482
'0:01.732',-0.427
'0:01.736',-0.427
'0:01.740',-0.500
'0:01.744',-0.487
'0:01.748',-0.522
'0:01.752',-0.570
'0:01.756',-0.550
'0:01.760',-0.570
'0:01.764',-0.578
'0:01.768',-0.532
'0:01.772',-0.547
'0:01.776',-0.550
'0:01.780',-0.565
'0:01.784',-0.600
'0:01.788',-0.595
'0:01.792',-0.600
'0:01.796',-0.608
'0:01.800',-0.570
'0:01.804',-0.565
'0:01.808',-0.583
'0:01.812',-0.595
'0:01.816',-0.603
'0:01.820',-0.608
'0:01.824',-0.603
'0:01.828',-0.608
'0:01.832',-0.598
'0:01.836',-0.600
'0:01.840',-0.583
'0:01.844',-0.603
'0:01.848',-0.615
'0:01.852',-0.660
'0:01.856',-0.645
'0:01.860',-0.660
'0:01.864',-0.608
'0:01.868',-0.615
'0:01.872',-0.650
'0:01.876',-0.652
'0:01.880',-0.640
'0:01.884',-0.662
'0:01.888',-0.657
'0:01.892',-0.657
'0:01.896',-0.660
'0:01.900',-0.665
'0:01.904',-0.682
'0:01.908',-0.675
'0:01.912',-0.738
'0:01.916',-0.723
'0:01.920',-0.720
'0:01.924',-0.703
'0:01.928',-0.750
'0:01.932',-0.733
'0:01.936',-0.713
'0:01.940',-0.695
'0:01.944',-0.738
'0:01.948',-0.740
'0:01.952',-0.777
'0:01.956',-0.797
'0:01.960',-0.772
'0:01.964',-0.765
'0:01.968',-0.762
'0:01.972',-0.752
'0:01.976',-0.782
'0:01.980',-0.775
'0:01.984',-0.775
'0:01.988',-0.838
'0:01.992',-0.815
'0:01.996',-0.810
'0:02.000',-0.812
'0:02.004',-0.833
'0:02.008',-0.823
'0:02.012',-0.835
'0:02.016',-0.877
'0:02.020',-0.882
'0:02.024',-0.882
'0:02.028',-0.877
'0:02.032',-0.865
'0:02.036',-0.835
'0:02.040',-0.858
'0:02.044',-0.860
'0:02.048',-0.895
'0:02.052',-0.882
'0:02.056',-0.890
'0:02.060',-0.875
'0:02.064',-0.863
'0:02.068',-0.858
'0:02.072',-0.853
'0:02.076',-0.900
'0:02.080',-0.877
'0:02.084',-0.895
'0:02.088',-0.882
'0:02.092',-0.882
'0:02.096',-0.865
'0:02.100',-0.870
'0:02.104',-0.900
'0:02.108',-0.850
'0:02.112',-0.877
'0:02.116',-0.882
'0:02.120',-0.910
'0:02.124',-0.920
'0:02.128',-0.907
'0:02.132',-0.865
'0:02.136',-0.877
'0:02.140',-0.875
'0:02.144',-0.890
'0:02.148',-0.907
'0:02.152',-0.907
'0:02.156',-0.915
'0:02.160',-0.897
'0:02.164',-0.912
'0:02.168',-0.895
'0:02.172',-0.902
'0:02.176',-0.925
'0:02.180',-0.910
'0:02.184',-0.925
'0:02.188',-0.935
'0:02.192',-0.935
'0:02.196',-0.910
'0:02.200',-0.927
'0:02.204',-0.925
'0:02.208',-0.935
'0:02.212',-0.948
'0:02.216',-0.973
'0:02.220',-0.988
'0:02.224',-0.953
'0:02.228',-0.983
'0:02.232',-0.965
'0:02.236',-0.975
'0:02.240',-0.925
'0:02.244',-0.988
'0:02.248',-1.008
'0:02.252',-1.000
'0:02.256',-0.990
'0:02.260',-0.970
'0:02.264',-0.998
'0:02.268',-0.985
'0:02.272',-0.988
'0:02.276',-1.000
'0:02.280',-1.002
'0:02.284',-1.000
'0:02.288',-0.983
'0:02.292',-1.012
'0:02.296',-0.970
'0:02.300',-0.953
'0:02.304',-0.940
'0:02.308',-0.985
'0:02.312',-1.015
'0:02.316',-1.020
'0:02.320',-1.048
'0:02.324',-1.028
'0:02.328',-1.050
'0:02.332',-1.010
'0:02.336',-1.038
'0:02.340',-1.077
'0:02.344',-1.103
'0:02.348',-1.127
'0:02.352',-1.140
'0:02.356',-1.175
'0:02.360',-1.170
'0:02.364',-1.145
'0:02.368',-1.140
'0:02.372',-1.150
'0:02.376',-1.145
'0:02.380',-1.165
'0:02.384',-1.173
'0:02.388',-1.175
'0:02.392',-1.133
'0:02.396',-1.137
'0:02.400',-1.077
'0:02.404',-1.012
'0:02.408',-0.848
'0:02.412',-0.637
'0:02.416',-0.250
'0:02.420',0.200
'0:02.424',0.700
'0:02.428',1.150
'0:02.432',1.420
'0:02.436',1.415
'0:02.440',1.123
'0:02.444',0.627
'0:02.448',0.077
'0:02.452',-0.438
'0:02.456',-0.828
'0:02.460',-1.120
'0:02.464',-1.240
'0:02.468',-1.290
'0:02.472',-1.308
'0:02.476',-1.300
'0:02.480',-1.320
'0:02.484',-1.365
'0:02.488',-1.383
'0:02.492',-1.385
'0:02.496',-1.410
'0:02.500',-1.440
'0:02.504',-1.423
'0:02.508',-1.452
'0:02.512',-1.450
'0:02.516',-1.458
'0:02.520',-1.512
'0:02.524',-1.488
'0:02.528',-1.478
'0:02.532',-1.472
'0:02.536',-1.472
'0:02.540',-1.460
'0:02.544',-1.522
'0:02.548',-1.508
'0:02.552',-1.512
'0:02.556',-1.485
'0:02.560',-1.478
'0:02.564',-1.482
'0:02.568',-1.472
'0:02.572',-1.440
'0:02.576',-1.440
'0:02.580',-1.475
'0:02.584',-1.485
'0:02.588',-1.510
'0:02.592',-1.498
'0:02.596',-1.475
'0:02.600',-1.462
'0:02.604',-1.450
'0:02.608',-1.465
'0:02.612',-1.462
'0:02.616',-1.427
'0:02.620',-1.438
'0:02.624',-1.438
'0:02.628',-1.433
'0:02.632',-1.438
'0:02.636',-1.395
'0:02.640',-1.403
'0:02.644',-1.407
'0:02.648',-1.397
'0:02.652',-1.413
'0:02.656',-1.397
'0:02.660',-1.400
'0:02.664',-1.363
'0:02.668',-1.340
'0:02.672',-1.312
'0:02.676',-1.335
'0:02.680',-1.377
'0:02.684',-1.327
'0:02.688',-1.350
'0:02.692',-1.315
'0:02.696',-1.327
'0:02.700',-1.285
'0:02.704',-1.245
'0:02.708',-1.282
'0:02.712',-1.300
'0:02.716',-1.285
'0:02.720',-1.295
'0:02.724',-1.288
'0:02.728',-1.240
'0:02.732',-1.258
'0:02.736',-1.208
'0:02.740',-1.208
'0:02.744',-1.225
'0:02.748',-1.235
'0:02.752',-1.212
'0:02.756',-1.200
'0:02.760',-1.195
'0:02.764',-1.115
'0:02.768',-1.100
'0:02.772',-1.052
'0:02.776',-1.032
'0:02.780',-1.025
'0:02.784',-0.975
'0:02.788',-0.960
'0:02.792',-0.900
'0:02.796',-0.900
'0:02.800',-0.873
'0:02.804',-0.863
'0:02.808',-0.825
'0:02.812',-0.873
'0:02.816',-0.877
'0:02.820',-0.858
'0:02.824',-0.887
'0:02.828',-0.860
'0:02.832',-0.870
'0:02.836',-0.858
'0:02.840',-0.825
'0:02.844',-0.882
'0:02.848',-0.863
'0:02.852',-0.870
'0:02.856',-0.823
'0:02.860',-0.828
'0:02.864',-0.877
'0:02.868',-0.860
'0:02.872',-0.838
'0:02.876',-0.825
'0:02.880',-0.825
'0:02.884',-0.848
'0:02.888',-0.853
'0:02.892',-0.825
'0:02.896',-0.828
'0:02.900',-0.790
'0:02.904',-0.815
'0:02.908',-0.790
'0:02.912',-0.807
'0:02.916',-0.825
'0:02.920',-0.823
'0:02.924',-0.797
'0:02.928',-0.785
'0:02.932',-0.775
'0:02.936',-0.752
'0:02.940',-0.775
'0:02.944',-0.762
'0:02.948',-0.750
'0:02.952',-0.797
'0:02.956',-0.815
'0:02.960',-0.782
'0:02.964',-0.790
'0:02.968',-0.752
'0:02.972',-0.757
'0:02.976',-0.740
'0:02.980',-0.762
'0:02.984',-0.797
'0:02.988',-0.775
'0:02.992',-0.757
'0:02.996',-0.762
'0:03.000',-0.757
'0:03.004',-0.720
'0:03.008',-0.752
'0:03.012',-0.748
'0:03.016',-0.775
'0:03.020',-0.772
'0:03.024',-0.785
'0:03.028',-0.735
'0:03.032',-0.740
'0:03.036',-0.713
'0:03.040',-0.725
'0:03.044',-0.745
'0:03.048',-0.775
'0:03.052',-0.762
'0:03.056',-0.762
'0:03.060',-0.760
'0:03.064',-0.738
'0:03.068',-0.738
'0:03.072',-0.720
'0:03.076',-0.762
'0:03.080',-0.728
'0:03.084',-0.757
'0:03.088',-0.760
'0:03.092',-0.745
'0:03.096',-0.738
'0:03.100',-0.733
'0:03.104',-0.733
'0:03.108',-0.690
'0:03.112',-0.710
'0:03.116',-0.715
'0:03.120',-0.723
'0:03.124',-0.688
'0:03.128',-0.735
'0:03.132',-0.720
'0:03.136',-0.708
'0:03.140',-0.700
'0:03.144',-0.698
'0:03.148',-0.715
'0:03.152',-0.720
'0:03.156',-0.713
'0:03.160',-0.733
'0:03.164',-0.713
'0:03.168',-0.690
'0:03.172',-0.698
'0:03.176',-0.708
'0:03.180',-0.690
'0:03.184',-0.725
'0:03.188',-0.703
'0:03.192',-0.723
'0:03.196',-0.715
'0:03.200',-0.677
'0:03.204',-0.688
'0:03.208',-0.708
'0:03.212',-0.703
'0:03.216',-0.670
'0:03.220',-0.723
'0:03.224',-0.688
'0:03.228',-0.710
'0:03.232',-0.682
'0:03.236',-0.635
'0:03.240',-0.657
'0:03.244',-0.682
'0:03.248',-0.662
'0:03.252',-0.695
'0:03.256',-0.688
'0:03.260',-0.660
'0:03.264',-0.627
'0:03.268',-0.623
'0:03.272',-0.660
'0:03.276',-0.632
'0:03.280',-0.652
'0:03.284',-0.625
'0:03.288',-0.625
'0:03.292',-0.670
'0:03.296',-0.632
'0:03.300',-0.637
'0:03.304',-0.632
'0:03.308',-0.625
'0:03.312',-0.610
'0:03.316',-0.623
'0:03.320',-0.665
'0:03.324',-0.635
'0:03.328',-0.603
'0:03.332',-0.588
'0:03.336',-0.578
'0:03.340',-0.557
'0:03.344',-0.610
'0:03.348',-0.578
'0:03.352',-0.595
'0:03.356',-0.560
'0:03.360',-0.527
'0:03.364',-0.500
'0:03.368',-0.500
'0:03.372',-0.512
'0:03.376',-0.472
'0:03.380',-0.487
'0:03.384',-0.500
'0:03.388',-0.465
'0:03.392',-0.445
'0:03.396',-0.450
'0:03.400',-0.415
'0:03.404',-0.422
'0:03.408',-0.420
'0:03.412',-0.410
'0:03.416',-0.425
'0:03.420',-0.422
'0:03.424',-0.420
'0:03.428',-0.453
'0:03.432',-0.427
'0:03.436',-0.410
'0:03.440',-0.425
'0:03.444',-0.465
'0:03.448',-0.435
'0:03.452',-0.415
'0:03.456',-0.415
'0:03.460',-0.390
'0:03.464',-0.370
'0:03.468',-0.338
'0:03.472',-0.340
'0:03.476',-0.328
'0:03.480',-0.323
'0:03.484',-0.338
'0:03.488',-0.310
'0:03.492',-0.282
'0:03.496',-0.237
'0:03.500',-0.122
'0:03.504',0.037
'0:03.508',0.278
'0:03.512',0.613
'0:03.516',1.045
'0:03.520',1.470
'0:03.524',1.972
'0:03.528',2.288
'0:03.532',2.395
'0:03.536',2.145
'0:03.540',1.660
'0:03.544',1.065
'0:03.548',0.475
'0:03.552',-0.007
'0:03.556',-0.250
'0:03.560',-0.347
'0:03.564',-0.378
'0:03.568',-0.362
'0:03.572',-0.328
'0:03.576',-0.295
'0:03.580',-0.333
'0:03.584',-0.345
'0:03.588',-0.388
'0:03.592',-0.412
'0:03.596',-0.410
'0:03.600',-0.432
'0:03.604',-0.427
'0:03.608',-0.432
'0:03.612',-0.435
'0:03.616',-0.445
'0:03.620',-0.435
'0:03.624',-0.400
'0:03.628',-0.458
'0:03.632',-0.432
'0:03.636',-0.403
'0:03.640',-0.375
'0:03.644',-0.440
'0:03.648',-0.440
'0:03.652',-0.448
'0:03.656',-0.450
'0:03.660',-0.445
'0:03.664',-0.460
'0:03.668',-0.453
'0:03.672',-0.453
'0:03.676',-0.445
'0:03.680',-0.448
'0:03.684',-0.458
'0:03.688',-0.460
'0:03.692',-0.465
'0:03.696',-0.403
'0:03.700',-0.425
'0:03.704',-0.390
'0:03.708',-0.400
'0:03.712',-0.388
'0:03.716',-0.425
'0:03.720',-0.463
'0:03.724',-0.450
'0:03.728',-0.427
'0:03.732',-0.422
'0:03.736',-0.375
'0:03.740',-0.390
'0:03.744',-0.388
'0:03.748',-0.410
'0:03.752',-0.407
'0:03.756',-0.435
'0:03.760',-0.395
'0:03.764',-0.388
'0:03.768',-0.372
'0:03.772',-0.362
'0:03.776',-0.357
'0:03.780',-0.385
'0:03.784',-0.385
'0:03.788',-0.403
'0:03.792',-0.375
'0:03.796',-0.370
'0:03.800',-0.352
'0:03.804',-0.362
'0:03.808',-0.347
'0:03.812',-0.360
'0:03.816',-0.335
'0:03.820',-0.390
'0:03.824',-0.320
'0:03.828',-0.325
'0:03.832',-0.285
'0:03.836',-0.263
'0:03.840',-0.253
'0:03.844',-0.225
'0:03.848',-0.200
'0:03.852',-0.177
'0:03.856',-0.163
'0:03.860',-0.125
'0:03.864',-0.100
'0:03.868',-0.085
'0:03.872',-0.062
'0:03.876',-0.060
'0:03.880',-0.062
'0:03.884',-0.095
'0:03.888',-0.083
'0:03.892',-0.075
'0:03.896',-0.085
'0:03.900',-0.090
'0:03.904',-0.062
'0:03.908',-0.077
'0:03.912',-0.100
'0:03.916',-0.087
'0:03.920',-0.125
'0:03.924',-0.107
'0:03.928',-0.113
'0:03.932',-0.070
'0:03.936',-0.095
'0:03.940',-0.102
'0:03.944',-0.100
'0:03.948',-0.113
'0:03.952',-0.095
'0:03.956',-0.122
'0:03.960',-0.090
'0:03.964',-0.077
'0:03.968',-0.077
'0:03.972',-0.087
'0:03.976',-0.100
'0:03.980',-0.098
'0:03.984',-0.100
'0:03.988',-0.125
'0:03.992',-0.075
'0:03.996',-0.075
'0:04.000',-0.083
'0:04.004',-0.072
'0:04.008',-0.098
'0:04.012',-0.090
'0:04.016',-0.138
'0:04.020',-0.140
'0:04.024',-0.100
'0:04.028',-0.115
'0:04.032',-0.113
'0:04.036',-0.110
'0:04.040',-0.110
'0:04.044',-0.125
'0:04.048',-0.147
'0:04.052',-0.147
'0:04.056',-0.185
'0:04.060',-0.163
'0:04.064',-0.145
'0:04.068',-0.113
'0:04.072',-0.140
'0:04.076',-0.140
'0:04.080',-0.135
'0:04.084',-0.182
'0:04.088',-0.158
'0:04.092',-0.165
'0:04.096',-0.185
'0:04.100',-0.150
'0:04.104',-0.150
'0:04.108',-0.158
'0:04.112',-0.172
'0:04.116',-0.188
'0:04.120',-0.190
'0:04.124',-0.182
'0:04.128',-0.175
'0:04.132',-0.185
'0:04.136',-0.172
'0:04.140',-0.133
'0:04.144',-0.175
'0:04.148',-0.160
'0:04.152',-0.203
'0:04.156',-0.185
'0:04.160',-0.188
'0:04.164',-0.145
'0:04.168',-0.177
'0:04.172',-0.140
'0:04.176',-0.160
'0:04.180',-0.182
'0:04.184',-0.207
'0:04.188',-0.172
'0:04.192',-0.210
'0:04.196',-0.212
'0:04.200',-0.177
'0:04.204',-0.158
'0:04.208',-0.158
'0:04.212',-0.210
'0:04.216',-0.212
'0:04.220',-0.212
'0:04.224',-0.175
'0:04.228',-0.182
'0:04.232',-0.170
'0:04.236',-0.138
'0:04.240',-0.150
'0:04.244',-0.177
'0:04.248',-0.172
'0:04.252',-0.165
'0:04.256',-0.185
'0:04.260',-0.185
'0:04.264',-0.147
'0:04.268',-0.140
'0:04.272',-0.145
'0:04.276',-0.122
'0:04.280',-0.158
'0:04.284',-0.188
'0:04.288',-0.150
'0:04.292',-0.163
'0:04.296',-0.140
'0:04.300',-0.135
'0:04.304',-0.140
'0:04.308',-0.140
'0:04.312',-0.163
'0:04.316',-0.175
'0:04.320',-0.163
'0:04.324',-0.163
'0:04.328',-0.160
'0:04.332',-0.138
'0:04.336',-0.120
'0:04.340',-0.095
'0:04.344',-0.113
'0:04.348',-0.125
'0:04.352',-0.122
'0:04.356',-0.102
'0:04.360',-0.128
'0:04.364',-0.110
'0:04.368',-0.085
'0:04.372',-0.087
'0:04.376',-0.115
'0:04.380',-0.125
'0:04.384',-0.133
'0:04.388',-0.083
'0:04.392',-0.100
'0:04.396',-0.077
'0:04.400',-0.085
'0:04.404',-0.035
'0:04.408',-0.015
'0:04.412',-0.028
'0:04.416',-0.058
'0:04.420',0.007
'0:04.424',-0.028
'0:04.428',0.007
'0:04.432',0.013
'0:04.436',0.028
'0:04.440',0.015
'0:04.444',0.015
'0:04.448',0.028
'0:04.452',0.000
'0:04.456',0.022
'0:04.460',0.015
'0:04.464',0.035
'0:04.468',0.013
'0:04.472',-0.033
'0:04.476',0.022
'0:04.480',-0.048
'0:04.484',-0.033
'0:04.488',-0.058
'0:04.492',-0.028
'0:04.496',-0.022
'0:04.500',0.020
'0:04.504',0.007
'0:04.508',0.015
'0:04.512',0.025
'0:04.516',0.035
'0:04.520',0.022
'0:04.524',0.033
'0:04.528',0.062
'0:04.532',0.102
'0:04.536',0.095
'0:04.540',0.147
'0:04.544',0.133
'0:04.548',0.260
'0:04.552',0.385
'0:04.556',0.625
'0:04.560',0.983
'0:04.564',1.482
'0:04.568',1.970
'0:04.572',2.410
'0:04.576',2.565
'0:04.580',2.498
'0:04.584',2.070
'0:04.588',1.522
'0:04.592',0.897
'0:04.596',0.458
'0:04.600',0.140
'0:04.604',-0.022
'0:04.608',0.000
'0:04.612',-0.035
'0:04.616',-0.010
'0:04.620',0.000
'0:04.624',0.010
'0:04.628',-0.015
'0:04.632',0.003
'0:04.636',-0.050
'0:04.640',-0.050
'0:04.644',-0.077
'0:04.648',-0.110
'0:04.652',-0.098
'0:04.656',-0.100
'0:04.660',-0.122
'0:04.664',-0.115
'0:04.668',-0.060
'0:04.672',-0.113
'0:04.676',-0.095
